time,G_min,G_max,G_opt,I_min,I_max,I_opt
291.13,10.00179492,11.88778635,10.7860197,0.050438072,0.177529417,0.115605402
291.14,10.00093721,11.88750446,10.78530576,0.050573691,0.177957294,0.115903239
291.15,10.00007946,11.88722222,10.78459168,0.050709156,0.178384387,0.116200654
291.16,9.999221666,11.88693962,10.78387745,0.050844467,0.178810695,0.116497648
291.17,9.998363829,11.88665667,10.78316308,0.050979623,0.179236222,0.116794222
291.18,9.99750595,11.88637335,10.78244856,0.051114626,0.179660967,0.117090375
291.19,9.996648028,11.88608968,10.7817339,0.051249474,0.180084932,0.117386109
291.2,9.995790064,11.88580565,10.78101909,0.051384169,0.180508118,0.117681423
291.21,9.994932058,11.88552127,10.78030414,0.051518711,0.180930527,0.117976319
291.22,9.99407401,11.88523653,10.77958905,0.051653099,0.18135216,0.118270797
291.23,9.993215921,11.88495143,10.77887382,0.051787334,0.181773018,0.118564857
291.24,9.99235779,11.88466598,10.77815845,0.051921415,0.182193102,0.118858499
291.25,9.991499619,11.88438018,10.77744293,0.052055344,0.182612414,0.119151725
291.26,9.990641407,11.88409402,10.77672728,0.05218912,0.183030954,0.119444535
291.27,9.989783154,11.88380751,10.77601148,0.052322743,0.183448725,0.11973693
291.28,9.988924861,11.88352064,10.77529554,0.052456214,0.183865727,0.120028909
291.29,9.988066529,11.88323343,10.77457947,0.052589532,0.184281961,0.120320473
291.3,9.987208156,11.88294586,10.77386326,0.052722698,0.184697429,0.120611623
291.31,9.986349744,11.88265794,10.77314691,0.052855712,0.185112132,0.120902359
291.32,9.985491293,11.88236967,10.77243042,0.052988574,0.185526072,0.121192682
291.33,9.984632803,11.88208105,10.77171379,0.053121283,0.185939249,0.121482593
291.34,9.983774274,11.88179208,10.77099703,0.053253842,0.186351664,0.121772091
291.35,9.982915706,11.88150276,10.77028014,0.053386248,0.18676332,0.122061177
291.36,9.9820571,11.88121309,10.7695631,0.053518504,0.187174216,0.122349852
291.37,9.981198456,11.88092308,10.76884593,0.053650607,0.187584356,0.122638116
291.38,9.980339775,11.88063271,10.76812863,0.05378256,0.187993738,0.122925969
291.39,9.979481056,11.880342,10.7674112,0.053914362,0.188402366,0.123213413
291.4,9.978622299,11.88005094,10.76669363,0.054046013,0.188810239,0.123500448
291.41,9.977763506,11.87975953,10.76597592,0.054177513,0.18921736,0.123787074
291.42,9.976904675,11.87946778,10.76525809,0.054308862,0.189623729,0.124073291
291.43,9.976045808,11.87917568,10.76454012,0.054440062,0.190029348,0.1243591
291.44,9.975186905,11.87888324,10.76382202,0.05457111,0.190434218,0.124644502
